"","id_id","litter_dry","plot_indicator","range_class","range_score"
"205","masouleh_GA2",10.3,"B5","Excellent",97.03
"206","masouleh_GA2",10.3,"B6","Excellent",100
"207","masouleh_GA2",5.82,"B7","Excellent",99
"208","masouleh_GA2",9.18,"B8","Excellent",90
"209","masouleh_GA2",8.51,"C1","Excellent",99.1
"210","masouleh_GA2",11.65,"C2","Excellent",82
"211","masouleh_GA2",6.5,"C3","Excellent",85.7
"212","masouleh_GA2",13.66,"C4","Good",78
"213","masouleh_GA2",10.98,"C5","Excellent",93.3
"214","masouleh_GA2",8.96,"C6","Excellent",86.6
"215","masouleh_GA2",3.58,"C7","Excellent",85
"216","masouleh_GA2",8.06,"C8","Good",79
"217","masouleh_GA2",7.84,"D1","Excellent",95.47
"218","masouleh_GA2",11.42,"D2","Excellent",94.1
"219","masouleh_GA2",8.51,"D3","Excellent",100
"220","masouleh_GA2",12.77,"D4","Excellent",100
"221","masouleh_GA2",13.66,"D5","Fair",66.8
"222","masouleh_GA2",6.72,"D6","Good",79.5
"223","masouleh_GA2",10.3,"D7","Good",74
"224","masouleh_GA2",6.72,"D8","Excellent",100
"225","masouleh_GA2",9.18,"E1","Good",74.4
"226","masouleh_GA2",12.54,"E2","Excellent",91
"227","masouleh_GA2",13.66,"E3","Excellent",87.6
"228","masouleh_GA2",8.51,"E4","Excellent",99.01
"229","masouleh_GA2",8.06,"E5","Fair",62.6
"230","masouleh_GA2",8.06,"E6","Fair",61
"231","masouleh_GA2",4.48,"E7","Fair",68.3
"232","masouleh_GA2",10.98,"E8","Excellent",90.2
"233","masouleh_GA2",12.54,"F2","Good",77.61
"234","masouleh_GA2",9.63,"F3","Fair",63.1
"235","masouleh_GA2",8.06,"F4","Fair",67
"236","masouleh_GA2",6.5,"F5","Fair",61.1
"237","masouleh_GA2",8.06,"F6","Good",72.7
"238","masouleh_GA2",9.86,"F7","Fair",50
"239","masouleh_GA2",11.42,"F8","Fair",69.6
"240","masouleh_GA2",9.86,"G1","Excellent",92.9
"241","masouleh_GA2",13.89,"G2","Fair",63.9
"242","masouleh_GA2",8.96,"G3","Poor",39
"243","masouleh_GA2",6.94,"G4","Excellent",84.7
"244","masouleh_GA2",8.06,"G5","Excellent",81.5
"245","masouleh_GA2",5.82,"G6","Excellent",83.8
"246","masouleh_GA2",10.3,"G7","Good",73.4
"247","masouleh_GA2",12.1,"G8","Excellent",81.6
"248","masouleh_GA2",9.18,"H2","Good",72.2
"249","masouleh_GA2",10.08,"H3","Good",76.4
"250","masouleh_GA2",13.66,"H4","Fair",60.4
"251","masouleh_GA2",9.18,"H5","Excellent",82.3
"252","masouleh_GA2",9.18,"H6","Fair",65.6
"253","masouleh_GA2",9.18,"H7","Good",76.7
"254","masouleh_GA2",7.84,"H8","Poor",49.9
"255","maz_java_EA1",47.15,"A1","Excellent",89.7
"256","maz_java_EA1",46.56,"A2","Excellent",91.3
"257","maz_java_EA1",36.09,"A3","Fair",66.5
"258","maz_java_EA1",50.06,"A4","Excellent",85.4
"259","maz_java_EA1",41.33,"A5","Good",74.1
"260","maz_java_EA1",51.22,"A6","Excellent",80.7
"261","maz_java_EA1",31.43,"A7","Good",71.5
"262","maz_java_EA1",55.3,"A8","Good",72.9
"263","maz_java_EA1",47.15,"B1","Excellent",84.9
"264","maz_java_EA1",55.3,"B2","Excellent",86.7
"265","maz_java_EA1",34.34,"B3","Good",74.3
"266","maz_java_EA1",44.82,"B4","Excellent",88.7
"267","maz_java_EA1",39,"B5","Fair",66.5
"268","maz_java_EA1",47.73,"B6","Excellent",87.1
"269","maz_java_EA1",36.09,"B7","Excellent",84.1
"270","maz_java_EA1",44.82,"B8","Good",76.6
"271","maz_java_EA1",51.22,"C1","Excellent",87.9
"272","maz_java_EA1",52.38,"C2","Excellent",85.9
"273","maz_java_EA1",50.64,"C3","Excellent",95
"274","maz_java_EA1",50.06,"C4","Excellent",91.8
"275","maz_java_EA1",35.51,"C5","Good",75.8
"276","maz_java_EA1",31.43,"C6","Excellent",82.7
"277","maz_java_EA1",45.4,"C7","Excellent",83.4
"278","maz_java_EA1",26.77,"C8","Fair",62.3
"279","maz_java_EA1",50.64,"D1","Excellent",89.8
"280","maz_java_EA1",35.51,"D2","Good",78
"281","maz_java_EA1",52.97,"D3","Excellent",95.1
"282","maz_java_EA1",53.55,"D4","Excellent",93.8
"283","maz_java_EA1",51.22,"D5","Excellent",91.3
"284","maz_java_EA1",30.27,"D6","Fair",66.5
"285","maz_java_EA1",41.33,"D7","Excellent",82.3
"286","maz_java_EA1",54.13,"D8","Good",80.4
"287","maz_java_EA1",52.97,"E1","Excellent",89
"288","maz_java_EA1",51.22,"E2","Excellent",91
"289","maz_java_EA1",52.97,"E3","Excellent",91.1
"290","maz_java_EA1",47.15,"E4","Good",78.7
"291","maz_java_EA1",41.33,"E5","Excellent",89.6
"292","maz_java_EA1",33.76,"E6","Fair",60.2
"293","maz_java_EA1",36.09,"E7","Excellent",81.3
"294","maz_java_EA1",29.68,"E8","Good",70.1
"295","maz_java_EA1",44.24,"F1","Excellent",92.5
"296","maz_java_EA1",54.71,"F2","Excellent",91.5
"297","maz_java_EA1",52.97,"F3","Excellent",92.3
"298","maz_java_EA1",53.55,"F4","Excellent",89.1
"299","maz_java_EA1",50.64,"F5","Excellent",89.5
"300","maz_java_EA1",30.85,"F6","Fair",62.1
"301","maz_java_EA1",29.68,"F7","Fair",65.8
"302","maz_java_EA1",35.51,"F8","Good",71.8
"303","maz_java_EA1",50.06,"G1","Excellent",86.2
"304","maz_java_EA1",47.15,"G2","Excellent",90.9
"305","maz_java_EA1",50.06,"G3","Excellent",86.2
"306","maz_java_EA1",32.6,"G4","Good",72.8
"307","maz_java_EA1",29.68,"G5","Fair",51
"308","maz_java_EA1",29.68,"G6","Fair",52.8
"309","maz_java_EA1",20.95,"G7","Poor",40.5
"310","maz_java_EA1",23.86,"G8","Poor",43.8
"311","maz_java_EA1",41.33,"H1","Good",79.6
"312","maz_java_EA1",47.73,"H2","Excellent",86.8
"313","maz_java_EA1",44.82,"H3","Excellent",86
"314","maz_java_EA1",40.74,"H4","Good",77.4
"315","maz_java_EA1",50.06,"H5","Fair",67.7
"316","maz_java_EA1",39,"H6","Good",69.4
"317","maz_java_EA1",26.77,"H7","Fair",61.2
"318","maz_java_GA1",30.26,"A1","Good",78.9
"319","maz_java_GA1",30.26,"A2","Fair",68
"320","maz_java_GA1",27.3,"A3","Good",74.5
"321","maz_java_GA1",32.64,"A4","Excellent",80.3
"322","maz_java_GA1",28.48,"A5","Good",73.2
"323","maz_java_GA1",27.3,"A6","Poor",49
"324","maz_java_GA1",35.01,"A7","Fair",61.9
"325","maz_java_GA1",41.54,"A8","Good",72.4
"326","maz_java_GA1",27.3,"B1","Good",71.8
"327","maz_java_GA1",39.16,"B2","Good",79.8
"328","maz_java_GA1",28.48,"B3","Fair",64.1
"329","maz_java_GA1",29.08,"B4","Good",71.2
"330","maz_java_GA1",30.26,"B5","Good",72.5
"331","maz_java_GA1",34.42,"B6","Good",70.7
"332","maz_java_GA1",32.64,"B7","Good",73.4
"333","maz_java_GA1",34.42,"B8","Excellent",84.2
"334","maz_java_GA1",30.26,"C1","Fair",63.7
"335","maz_java_GA1",39.16,"C2","Good",79.4
"336","maz_java_GA1",30.26,"C3","Excellent",81.4
"337","maz_java_GA1",23.14,"C4","Poor",40.9
