"","col","row","range_score","range_class","id_id"
"460","B","8",76,"Good","maz_po_EA1"
"461","C","1",76.64,"Good","maz_po_EA1"
"462","C","2",81.5,"Excellent","maz_po_EA1"
"463","C","3",84.4,"Excellent","maz_po_EA1"
"464","C","4",81.2,"Excellent","maz_po_EA1"
"465","C","5",82.7,"Excellent","maz_po_EA1"
"466","C","6",78.5,"Good","maz_po_EA1"
"467","C","7",88.1,"Excellent","maz_po_EA1"
"468","C","8",78.1,"Good","maz_po_EA1"
"469","D","1",81.1,"Excellent","maz_po_EA1"
"470","D","2",80,"Excellent","maz_po_EA1"
"471","D","3",82.1,"Excellent","maz_po_EA1"
"472","D","4",81.4,"Excellent","maz_po_EA1"
"473","D","5",81.3,"Excellent","maz_po_EA1"
"474","D","6",78.3,"Good","maz_po_EA1"
"475","D","7",82,"Excellent","maz_po_EA1"
"476","D","8",85.8,"Excellent","maz_po_EA1"
"477","E","1",70.07,"Good","maz_po_EA1"
"478","E","2",93.5,"Excellent","maz_po_EA1"
"479","E","3",80,"Excellent","maz_po_EA1"
"480","E","4",84.2,"Excellent","maz_po_EA1"
"481","E","5",84.9,"Excellent","maz_po_EA1"
"482","E","6",82.2,"Excellent","maz_po_EA1"
"483","E","7",81.7,"Excellent","maz_po_EA1"
"484","E","8",83,"Excellent","maz_po_EA1"
"485","F","1",80.98,"Excellent","maz_po_EA1"
"486","F","2",79.6,"Good","maz_po_EA1"
"487","F","3",83.3,"Excellent","maz_po_EA1"
"488","F","4",72.7,"Good","maz_po_EA1"
"489","F","5",85,"Excellent","maz_po_EA1"
"490","F","6",81.1,"Excellent","maz_po_EA1"
"491","F","7",84.1,"Excellent","maz_po_EA1"
"492","F","8",70.3,"Good","maz_po_EA1"
"493","G","1",79.9,"Good","maz_po_EA1"
"494","G","2",86.1,"Excellent","maz_po_EA1"
"495","G","3",83.4,"Excellent","maz_po_EA1"
"496","G","4",84,"Excellent","maz_po_EA1"
"497","G","5",81.6,"Excellent","maz_po_EA1"
"498","G","6",83.1,"Excellent","maz_po_EA1"
"499","G","7",84.4,"Excellent","maz_po_EA1"
"500","G","8",70.8,"Good","maz_po_EA1"
"501","H","1",77.1,"Good","maz_po_EA1"
"502","H","2",77.7,"Good","maz_po_EA1"
"503","H","3",84.7,"Excellent","maz_po_EA1"
"504","H","4",84.8,"Excellent","maz_po_EA1"
"505","H","5",82.5,"Excellent","maz_po_EA1"
"506","H","6",77.1,"Good","maz_po_EA1"
"507","H","7",81.2,"Excellent","maz_po_EA1"
"508","A","1",31.6,"Poor","maz_po_GA1"
"509","A","2",45,"Poor","maz_po_GA1"
"510","A","3",33.5,"Poor","maz_po_GA1"
"511","A","4",36.1,"Poor","maz_po_GA1"
"512","A","5",17.9,"Very Poor","maz_po_GA1"
"513","A","6",15.7,"Very Poor","maz_po_GA1"
"514","A","7",20.3,"Very Poor","maz_po_GA1"
"515","A","8",17.5,"Very Poor","maz_po_GA1"
"516","B","1",26.5,"Very Poor","maz_po_GA1"
"517","B","2",42.1,"Poor","maz_po_GA1"
"518","B","3",52.6,"Fair","maz_po_GA1"
"519","B","4",36.6,"Poor","maz_po_GA1"
"520","B","5",18.2,"Very Poor","maz_po_GA1"
"521","B","6",18.7,"Very Poor","maz_po_GA1"
"522","B","7",23.9,"Very Poor","maz_po_GA1"
"523","B","8",11,"Very Poor","maz_po_GA1"
"524","C","1",29.8,"Poor","maz_po_GA1"
"525","C","2",37.8,"Poor","maz_po_GA1"
"526","C","3",45.7,"Poor","maz_po_GA1"
"527","C","4",27.9,"Very Poor","maz_po_GA1"
"528","C","5",12,"Very Poor","maz_po_GA1"
"529","C","6",25.5,"Very Poor","maz_po_GA1"
"530","C","7",18.8,"Very Poor","maz_po_GA1"
"531","C","8",11.8,"Very Poor","maz_po_GA1"
"532","D","1",34.3,"Poor","maz_po_GA1"
"533","D","2",46.3,"Poor","maz_po_GA1"
"534","D","3",60.9,"Fair","maz_po_GA1"
"535","D","4",43,"Poor","maz_po_GA1"
"536","D","5",24.4,"Very Poor","maz_po_GA1"
"537","D","6",34.1,"Poor","maz_po_GA1"
